machine_id,day,action,duration_hrs,fail_prob,urgency,obj_score,priority,deadline_hrs,energy_cost_usd,day_multiplier
M4356,,DEFERRED,7,0.996,0.0332,70.88,1,30,6.45,1.0
M9019,,DEFERRED,5,0.928,0.0332,64.06,1,28,3.59,1.0
M5734,,DEFERRED,5,0.767,0.032,49.82,1,24,4.04,1.0
M5062,,DEFERRED,7,1.0,0.0312,93.97,2,64,7.49,1.0
M2332,,DEFERRED,5,1.0,0.0312,53.77,2,64,4.66,1.0
M4428,,DEFERRED,7,0.999,0.0312,62.48,1,32,5.93,1.0
M4141,,DEFERRED,6,0.999,0.0303,76.03,1,33,6.14,1.0
M3859,,DEFERRED,6,0.682,0.0297,60.83,1,23,4.42,1.0
M3944,,DEFERRED,5,1.0,0.0286,65.22,1,35,5.59,1.0
M7012,,DEFERRED,6,1.0,0.0286,49.71,1,35,2.42,1.0
M4666,,DEFERRED,7,1.0,0.027,89.67,1,37,6.21,1.0
M4760,,DEFERRED,6,1.0,0.027,78.85,1,37,4.77,1.0
M2503,,DEFERRED,6,0.997,0.027,49.03,1,37,5.59,1.0
M4537,,DEFERRED,6,0.999,0.0256,69.93,1,39,4.59,1.0
M5735,,DEFERRED,5,1.0,0.0238,50.8,1,42,4.83,1.0
M3092,,DEFERRED,5,0.714,0.0234,50.99,2,61,2.91,1.0
M4185,,DEFERRED,4,0.998,0.0222,55.25,1,45,3.57,1.0
M9495,,DEFERRED,6,0.751,0.0218,66.45,2,69,4.73,1.0
M8399,,DEFERRED,7,1.0,0.0217,70.04,1,46,2.79,1.0
M7688,,DEFERRED,5,0.993,0.0216,74.2,1,46,2.49,1.0
M4384,,DEFERRED,6,1.0,0.02,74.46,1,50,6.41,1.0
M5616,,DEFERRED,6,1.0,0.02,68.17,1,50,6.76,1.0
M4566,,DEFERRED,7,1.0,0.0196,91.24,1,51,6.17,1.0
M7537,,DEFERRED,6,1.0,0.0189,87.34,1,53,2.43,1.0
M1125,,DEFERRED,6,1.0,0.0189,86.92,1,53,6.54,1.0
M3855,,DEFERRED,7,1.0,0.0175,74.29,1,57,7.96,1.0
M5618,,DEFERRED,5,1.0,0.0172,60.6,1,58,5.43,1.0
M7760,,DEFERRED,5,1.0,0.0167,53.98,1,60,4.73,1.0
M6420,,DEFERRED,5,0.948,0.0166,61.4,1,57,4.09,1.0
M848,,DEFERRED,4,0.989,0.0155,52.84,1,64,0.8,1.0
M7678,,DEFERRED,7,0.982,0.0153,100.0,1,64,6.61,1.0
M3830,,DEFERRED,7,0.665,0.0136,55.63,1,49,5.82,1.0
